iter	Passed	Remaining
0	228	228176
1	229	114585
2	230	76697
3	231	57760
4	232	46363
5	237	39272
6	239	33915
7	240	29835
8	241	26613
9	242	24043
10	243	21929
11	244	20168
12	245	18674
13	249	17573
14	250	16462
15	251	15478
16	252	14607
17	253	13834
18	254	13142
19	255	12519
20	256	11957
21	257	11456
22	258	10991
23	259	10563
24	262	10256
25	264	9907
26	266	9588
27	267	9269
28	268	8975
29	269	8701
30	270	8443
31	271	8202
32	300	8808
33	301	8580
34	303	8367
35	305	8168
36	306	7974
37	310	7872
38	315	7769
39	317	7614
40	318	7453
41	320	7299
42	321	7152
43	325	7069
44	328	6980
45	330	6860
46	331	6731
47	333	6611
48	335	6515
49	339	6457
50	341	6350
51	342	6246
52	343	6146
53	345	6051
54	346	5959
55	348	5870
56	349	5783
57	350	5699
58	354	5646
59	355	5569
60	356	5489
61	357	5410
62	358	5333
63	359	5259
64	360	5188
65	361	5118
66	362	5050
67	363	4985
68	364	4923
69	366	4863
70	369	4829
71	372	4807
72	375	4762
73	376	4711
74	378	4673
75	380	4621
76	384	4604
77	386	4569
78	387	4520
79	388	4472
80	390	4426
81	391	4381
82	391	4329
83	392	4285
84	393	4241
85	395	4198
86	396	4156
87	401	4159
88	404	4138
89	405	4104
90	407	4066
91	408	4028
92	409	3992
93	410	3955
94	413	3940
95	417	3932
96	419	3904
97	420	3870
98	421	3836
99	422	3802
100	423	3769
101	424	3738
102	425	3708
103	429	3697
104	430	3666
105	431	3635
106	432	3606
107	433	3579
108	434	3550
109	435	3523
110	436	3495
111	437	3467
112	438	3440
113	439	3414
114	440	3388
115	442	3374
116	444	3356
117	445	3332
118	446	3308
119	447	3284
120	448	3261
121	449	3236
122	450	3214
123	452	3193
124	453	3171
125	454	3149
126	454	3126
127	455	3104
128	459	3101
129	462	3097
130	464	3082
131	465	3062
132	466	3042
133	467	3022
134	468	3003
135	469	2984
136	470	2966
137	474	2962
138	475	2946
139	477	2930
140	478	2916
141	479	2898
142	480	2881
143	482	2865
144	483	2848
145	484	2831
146	485	2815
147	488	2813
148	491	2805
149	492	2790
150	493	2774
151	494	2760
152	495	2745
153	496	2729
154	497	2714
155	498	2699
156	499	2684
157	501	2670
158	504	2667
159	507	2663
160	508	2650
161	510	2638
162	511	2624
163	512	2611
164	513	2598
165	514	2585
166	516	2575
167	517	2562
168	518	2549
169	519	2536
170	520	2524
171	521	2511
172	523	2500
173	524	2488
174	525	2476
175	526	2465
176	528	2459
177	531	2453
178	532	2442
179	533	2430
180	534	2419
181	535	2408
182	536	2396
183	537	2385
184	538	2374
185	539	2362
186	540	2351
187	541	2340
188	545	2342
189	548	2339
190	550	2332
191	551	2322
192	552	2311
193	553	2300
194	554	2290
195	555	2280
196	556	2270
197	560	2270
198	561	2260
199	562	2250
200	563	2241
201	564	2231
202	566	2222
203	567	2214
204	568	2205
205	570	2197
206	571	2189
207	575	2191
208	578	2188
209	579	2180
210	580	2172
211	582	2163
212	583	2155
213	584	2146
214	585	2137
215	586	2128
216	587	2120
217	594	2131
218	597	2129
219	600	2127
220	601	2120
221	605	2120
222	606	2113
223	607	2105
224	608	2096
225	609	2088
226	611	2080
227	612	2072
228	613	2064
229	614	2056
230	615	2049
231	616	2041
232	621	2044
233	622	2037
234	623	2029
235	624	2021
236	625	2013
237	626	2005
238	627	1997
239	628	1990
240	629	1984
241	631	1978
242	632	1970
243	636	1971
244	639	1969
245	640	1963
246	641	1955
247	642	1948
248	643	1941
249	644	1934
250	645	1927
251	649	1928
252	651	1922
253	652	1916
254	653	1910
255	655	1905
256	656	1898
257	657	1891
258	658	1885
259	660	1878
260	661	1872
261	665	1875
262	667	1869
263	668	1862
264	669	1856
265	670	1849
266	671	1843
267	672	1836
268	673	1830
269	674	1823
270	675	1817
271	677	1814
272	681	1813
273	683	1812
